Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방설비기사(전기분야),2005,1,소방원론,1,지하층이라 함은 건축물의 바닥이 지표면 아래에 있는 층으로서 그 바닥으로부터 지표면까지의 평균높이가 당해층 높이의 얼마인 것을 말하는가?,,$\frac{1}{20}$이상,$\frac{1}{20}$이하,$\frac{1}{30}$이상,$\frac{1}{30}$이하,1
소방설비기사(전기분야),2005,1,소방원론,2,연기의 이동과 관계가 없는 것은?,,굴뚝효과,비용,공조설비,적설량,4
소방설비기사(전기분야),2005,1,소방원론,3,중질유 저장탱크 화재시 나타나는 보일오버현상을 설명한 것으로 가장 적당한 것은?,,연소유면의 온도가 100℃를 넘을 때 연소유면이 주수되는 물이 비등하면서 연소유를 비산시켜 탱크밖까지 확대시키는 현상,탱크내에 저장된 유류가 열축적으로 인한 비등현상을 일으켜 탱크밖까지 연소를 확대시키는 현상,연소유면으로부터 100°C이상의 열파가 탱크 저부로 전달되어 탱크저부에 고여 있는 물을 비등하게 하면서 연소유를 탱크밖으로 비산시키며 연소하는 현상,탱크밖으로 유출된 고온의 중질유가 수분과 접촉되어 수분을 비등하게 하고 이 수분의 폭발적인 팽창력에 의해 연소유 자신이 비등하는 것 처럼 보이는 현상,3
소방설비기사(전기분야),2005,1,소방원론,4,다음 중 2차 안전구획에 속하는 것은?,,복도,계단부속실(계단전실),계단,피난층에서 외부와 직면한 현관,2
소방설비기사(전기분야),2005,1,소방원론,5,다음 중 기계열에 해당하는 것은?,,유도열,정전기열,마찰스파크열,유전열,3
소방설비기사(전기분야),2005,1,소방원론,6,플래시 오버(FLASH OVER)의 지연대책으로 바른 것은?,,두께가 많은 내장재료를 사용한다.,열전도율이 큰 내장재료를 사용한다.,주요 구조부를 내화구조로 하고 개구부를 크게 설치한다.,실내 가연물을 대량 단위로 집합 저장한다.,2
소방설비기사(전기분야),2005,1,소방원론,7,하론에 의한 피해의 척도와 관계가 없는 것은?,,지구의 온난화 지수,오존층의 파괴지수,분해열에 의한 복사열 지수,치사농도,3
소방설비기사(전기분야),2005,1,소방원론,8,방화문에 관한 설명 중 옳지 않은 것은?,,방화문은 직접 손으로 열 수 있어야 한다.,철재로서 철판의 두께가 1.6mm인 것은 을종방화문이라 할 수 있다.,철재 및 망이 들어있는 유리로 된 것은 을종방화문이다.,피난계단에 설치하는 방화문에 한해 자동폐쇄장치가 요구된다.,4
소방설비기사(전기분야),2005,1,소방원론,9,중앙코너방식으로 피난자의 집중으로 패닉현상이 일어날 우려가 있는 형태는 어떤 형인가?,,T형,X형,Z형,H형,4
소방설비기사(전기분야),2005,1,소방원론,10,가연물의 연소형태를 찾을 짝지은 것은?,,표면연소 : 석탄,분해연소 : 목재,증발연소 : 유황,내부연소 : 셀룰로이드,1
소방설비기사(전기분야),2005,1,소방원론,11,제4류 위험물은 어느 물질에 속하는가?,,환원성 물질,폭발성 물질,산화성 물질,인화성 물질,4
