Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방설비기사(전기분야),2013,2,소방원론,1,"위험물안전관리법령상 위험물의 적재시 출입기준에서 다음 중 출채가 가능한 위험물로 적지어진 것은? (단, 각 위험물은 지정수량의 10배로 가정한다.)",,질산칼륨과 가솔린,과산화수소와 황린,철분과 유기과산화물,등유와 과염소산,3
소방설비기사(전기분야),2013,2,소방원론,2,다음 위험물 중 물과 접촉시 위험성이 가장 높은 것은?,,NaClO$_3$,P,TNT,Na$_2$O$_2$,4
소방설비기사(전기분야),2013,2,소방원론,3,Twin agent system으로 분말소화약제와 병용하여 소화효과를 증대시킬 수 있는 소화약제로 다음 중 가장 적합한 것은?,,수성막포,이산화탄소,단백포,합성계면활성제포,1
소방설비기사(전기분야),2013,2,소방원론,4,다음 물질 중 공기 중에서의 연소범위가 가장 넓은 것은?,,부탄,프로판,메탄,수소,4
소방설비기사(전기분야),2013,2,소방원론,5,다음 중 제1류 위험물로 그 성질이 산화성고체인 것은?,,황린,아염소산염류,금속분류,유황,2
소방설비기사(전기분야),2013,2,소방원론,6,화재에 관한 설명으로 옳은 것은?,,PVC 지장장고에서 발생한 화재는 D급화재이다.,PVC 지장장고에서 발생한 화재는 B급화재이다.,연소의 색상과 온도와의 관계를 고려할 때 일반적으로 암적색보다는 희적색의 온도가 높다.,연소의 색상과 온도와의 관계를 고려할 때 일반적으로 희백색보다는 희적색의 온도가 높다.,3
소방설비기사(전기분야),2013,2,소방원론,7,Halon 1301 의 화학기호로 옳은 것은?,,CBrF$_3$,CClBr,CF$_3$ClBr,C$_2$BrCF$_4$,1
소방설비기사(전기분야),2013,2,소방원론,8,물체의 표면온도가 250℃ 에서 650℃로 상승하면 열복사량은 약 몇 배 정도 상승하는가?,,2.5,5.7,7.5,9.7,4
소방설비기사(전기분야),2013,2,소방원론,9,물질의 연소시 산소 공급원이 될 수 없는 것은?,,탄화칼슘,과산화나트륨,질산나트륨,암촉광기,1
소방설비기사(전기분야),2013,2,소방원론,10,LNG와 LPG 에 대한 설명으로 틀린 것은?,,LNG는 증기비중은 1보다 크기 때문에 유출되면 바닥에 가라앉는다.,"LNG의 주성분은 메탄이고, LPG의 주성분은 프로판이다.",LPG 는 원래 냄새가 없으나 누설시 쉽게 알 수 있도록 부취제를 넣는다.,LNG는 Liquefied Natural Gas 의 약자이다.,1
소방설비기사(전기분야),2013,2,소방원론,11,담홍색으로 착색된 분말소화약제의 주성분은?,,황산알루미늄,탄산수소나트륨,제1인산암모늄,과산화나트륨,3
소방설비기사(전기분야),2013,2,소방원론,12,건물의 주요구조부에 해당되지 않는 것은?,,바닥,천장,기둥,주계단,2
소방설비기사(전기분야),2013,2,소방원론,13,다음 중 인화성 액체의 발화점으로 가장 거리가 먼 것은?,,전기불꽃,냉매,마찰스파크,화염,2
소방설비기사(전기분야),2013,2,소방원론,14,방화구조에 대한 기준으로 틀린 것은?,,철망모르타드로서 그 바른 두께가 2cm 이상인 것,석고판 위에 시멘트모르타를 바른 것으로서 그 두께의 합계가 2.5cm 이상인 것,시멘트모르타로 휘어 터일을 붙인 것으로서 그 두께의 합계가 2cm 이상인 것,심벽에 흙으로 맞벽치기 한 것,3
소방설비기사(전기분야),2013,2,소방원론,15,열경화성 플라스틱에 해당하는 것은?,,폴리에텔렌,열화비닐수지,파놀수지,폴리스티렌,3
소방설비기사(전기분야),2013,2,소방원론,16,발화온도 500℃ 에 대한 설명으로 다음 중 가장 옳은 것은?,,500℃로 가열하면 공급원이 인화한다.,500℃로 가열하면 공기 중에서 스스로 타기 시작한다.,500℃로 가열하여도 점화원이 없으면 타지 않는다.,500℃로 가열하면 마찰열에 의하여 연소한다.,2
소방설비기사(전기분야),2013,2,소방원론,17,다음 중 플래시 오버 (flash over)를 가장 옳게 설명한 것은?,,도시가스의 폭발적인 연소를 말한다.,화물유 등 가연성 액체가 넘게 출러서 발화한 상태를 말한다.,옥내화재가 서서히 진행하여 열 및 가연성 기체가 축적되었다가 일시에 연소하여 화염이 크게 발생하는 상태를 말한다.,화재물의 붕이 상부층으로 옮라가는 현상을 말한다.,3
소방설비기사(전기분야),2013,2,소방원론,18,"1기압, 100℃ 에서의 물 1g 의 기화잠열은 약 몇 cal 인가?",,425,539,647,734,2
소방설비기사(전기분야),2013,2,소방원론,19,화재방생시 주수소화를 할 수 없는 물질은?,,부틸리튬,질산에텔,니트로셀룰로오스,적린,1
소방설비기사(전기분야),2013,2,소방원론,20,이산화탄소의 물성으로 옳은 것은?,,"임계온도 : 31.35℃, 증기비중 : 0.529","임계온도 : 31.35℃, 증기비중 : 1.529","임계온도 : 0.35℃, 증기비중 : 1.529","임계온도 : 0.35℃, 증기비중 : 0.529",2
소방설비기사(전기분야),2013,2,소방전기회로,21,차동식스포트형 반도체식 감지기 회로의 일부이다. (가)의 명칭과 감시상태에서의 A점 전압은?,O,"서미스터, 1/2Va","열전대, Va","백금측온저항체, 1/2Va","광센서, Va",1
소방설비기사(전기분야),2013,2,소방전기회로,22,조작기기는 작업 제어대상에 작용하는 장치이고 응답이 빠른 것이 요구된다. 다음 중 전기식 조작기기가 아닌 것은?,,서보 전동기,다이어프렘 밸브,전자 밸브,,3
소방설비기사(전기분야),2013,2,소방전기회로,23,SCR의 양극 전류가 10[A]일 때 게이트 전류를 반으로 줄이면 양극 전류는?,,0.1[A],5[A],10[A],20[A],3
소방설비기사(전기분야),2013,2,소방전기회로,24,그림과 같은 논리회로는?,O,OR회로,AND회로,NOT회로,NOR회로,2
소방설비기사(전기분야),2013,2,소방전기회로,25,단상변압기(용량 100kVA) 3대를 △결선으로 운전하던 중 한 대가 고장이 생겨 V결선하였다면 출력은 [kVA] 인가?,,200,300,200√3,100√3,4
소방설비기사(전기분야),2013,2,소방전기회로,26,콘덴서와 코일에서 실제적으로 금차히 변화할 수 없는 것이 있다면 어느 것인가?,,"코일에서 전압, 콘덴서에서 전류","코일에서 전류, 콘덴서에서 전압","코일, 콘덴서 모두 전압","코일, 콘덴서 모두 전류",2
소방설비기사(전기분야),2013,2,소방전기회로,27,"1차 전압 6600[V], 권수비 60인 단상 변압기의 전동무효에 40[A]를 공급할 때 1차 전류는 몇 [A] 인가?",,01월 02일,02월 03일,05월 06일,04월 11일,2
소방설비기사(전기분야),2013,2,소방전기회로,28,$v=\sqrt{2}V\sin et[V]$ 인 전압에서 $\omega t=\frac{\pi}{6}$ [rad]일 때 의 크기가 70.7[V]이면 이 전원의 실효값은 몇 [V]가 되는가?,,100V,200V,300V,400V,1
소방설비기사(전기분야),2013,2,소방전기회로,29,그림과 같은 시스템의 등가함성 전달함수는?,O,G$_1$+G$_2$,G$_1$-G$_2$,G$_1$G$_2$,G$_1$/G$_2$,3
소방설비기사(전기분야),2013,2,소방전기회로,30,구동점 임피던스(driving point impedance)함수에서 극점(pole)이란 무엇을 의미하는가?,,개방회로상태를 의미한다.,단락회로상태를 의미한다.,전류가 많이 흐르는 상태를 의미한다.,전지상태를 의미한다.,1
소방설비기사(전기분야),2013,2,소방전기회로,31,입력이 1과 0일 때 1의 출력이 나오지 않는 게이트는?,,OR 게이트,NAND 게이트,NOR 게이트,EXCLUSIVE OR 게이트,3
소방설비기사(전기분야),2013,2,소방전기회로,32,"공기 중에서 20 cm 거리에 있는 두 자극의 세기가 $2\times10^{-3}$Wb와 $4\times10^{-3}$Wb 일 대, 두 자극사이에 작용하는 힘은 약 몇 [N] 인가?",,$2\times10^{-8}$,$2\times10^{-2}$,$12.66\times10^{-4}$,12.66,4
소방설비기사(전기분야),2013,2,소방전기회로,33,변압를 전압으로 변화시키는 장치가 아닌 것은?,,포텐셔미터,자동변압기,전위차계,측온저항,4
소방설비기사(전기분야),2013,2,소방전기회로,34,2개의 전하사이에 작용하는 정전기력과 거리사이의 관계는?,,거리에 반비례한다.,거리에 비례한다.,거리의 제곱에 반비례한다.,거리의 제곱에 비례한다.,3
소방설비기사(전기분야),2013,2,소방전기회로,35,RLC 직렬회로에서 일반적인 공진조건으로 옳지 않은 것은?,,리액턴스 성분이 0이 되는 조건,임피던스가 최대가 되어 전류가 최소로 되는 조건,임피던스의 허수부가 0이 되는 조건,선압과 전류가 동상이 되는 상태,2
소방설비기사(전기분야),2013,2,소방전기회로,36,"어떤 측정계기의 지시값을 M, 참값을 T라 할 때 보정율은?",O,$\frac{T-M}{M}\times100\%$,$\frac{M}{M-T}\times100\%$,$\frac{T-M}{T}\times100\%$,$\frac{T}{M-T}\times100\%$,1
소방설비기사(전기분야),2013,2,소방전기회로,37,그림과 같은 교류브리지의 평형조건으로 옳은 것은?,O,$R_2C_1 = R_1C_3; R_2C_1 = R_4C_3$,$R_1C_1 = R_4C_4; R_2C_3 = R_1C_1$,$R_2C_4 = R_4C_3; R_1C_3 = R_2C_1$,$R_1C_1 = R_4C_4; R_2C_3 = R_1C_4$,1
소방설비기사(전기분야),2013,2,소방전기회로,38,그림과 같은 트랜지스터를 사용한 정전압회로에서 Q$_1$의 역할로서 옳은 것은?,O,증폭용,비교부용,제어용,기준부용,3
소방설비기사(전기분야),2013,2,소방전기회로,39,2개의 저항을 직렬로 연결하면 30 V의 전압을 가하면 6 A의 연류가 흐른다. 병렬로 연결하면 동일 전압을 가하면 25 A의 전류가 흐른다. 두 저항값은 각각 몇 [Ω] 인가?,,"2, 3","3, 5","4, 5","5, 6",1
소방설비기사(전기분야),2013,2,소방전기회로,40,다음 중 쌍방향성 사이리스터인 것은?,,브리지 정류기,SCR,IGBT,TRIAC,4
소방설비기사(전기분야),2013,2,소방관계법규,41,소방기본법에 규정한 한국소방안전협회의 회원이 될 수 없는 사람은?,,소방관련 학사 또는 석사학위를 취득한 사람,소방공무원으로 3년 이상 근무한 경력이 있는 사람,소방방재청장이 정하는 소방 관련학과를 졸업한 사람,소방설비기사 자격을 취득한 사람,2
소방설비기사(전기분야),2013,2,소방관계법규,42,소방대상물에 대한 소방특별조사결과 화재가 발생되면 인명 또는 재산의 피해가 클 것으로 예상 되는 경우 소방본부장 또는 소방서장이 소방대상물 관계인에게 조치를 명할 수 있는 사항과 가장 거리가 먼 것은?,,이전명령,개수명령,사용금지명령,증축명령,4
소방설비기사(전기분야),2013,2,소방관계법규,43,스프링클러설비를 설치하여야 할 대상의 기준으로 옳지 않은 것은?,,문화집회 및 운동시설로서 수용인원이 100인 이상인 것,판매시설 및 영업시설로서 층수가 3층 이하인 건축물로서 바닥면적 합계가 6000m$^2$ 이상인 것,숙박이 가능한 수련시설로서 해당용도로 사용되는 바닥면적의 합계 600m$^2$ 이상인 보도 층,지하가(터널은 제외)로서 연면적 800m$^2$ 이상인 것,4
