Test Name,Year,Session,Subject,Number,Question,image,Option 1,Option 2,Option 3,Option 4,Answer
인간공학기사,2009,1,인간공학개론,1,기능적 인체치수(functional body dimension)측정에 대한 설명으로 옳은 것은?,text_only,앉은 상태에서만 측정하여야 한다.,움직이지 않은 표준자세에서 측정하여야 한다.,5~95percentile에 대해서만 정의된다.,신체 부위의 동작범위를 측정하여야 한다.,4
인간공학기사,2009,1,인간공학개론,2,"손의 위치에서 조종장치 중심까지의 거리가 30cm, 조종장치의 폭이 5cm일 때 난이도 지수(index of difficulty)값은 얼마인가?",text_only,2.6,3.2,3.6,4.1,3
인간공학기사,2009,1,인간공학개론,3,레버의 길이가 5cm인 조종장치를 30° 움직였더니 표시장치의 눈금이 2cm 움직였다. 이 때 조종장치의 C/R비는 약 얼마인가?,text_only,0.5,0.8,1.1,1.3,4
인간공학기사,2009,1,인간공학개론,4,다음 중 정보이론에 관한 설명으로 옳은 것은?,text_only,정보의 기본 단위는 바이트(byte)이다.,정보를 정량적으로 측정할 수 있다.,확실한 사건의 출현에는 많은 정보가 담겨있다.,정보란 불확실성의 증가(addition of uncertainty)라 정의한다.,2
인간공학기사,2009,1,인간공학개론,5,다음 중 암호체계의 사용상 일반적 지침에서 암호의 변별성에 대한 설명으로 옳은 것은?,text_only,정보를 암호화한 자극은 검출이 가능하여야 한다.,자극과 반응 간의 관계가 인간의 기대와 모순되지 않아야 한다.,모든 암호표시는 감지장치에 의하여 다른 암호표시와 구별될 수 있어야 한다.,두 가지 이상의 암호차원을 조합하여 사용하면 정보전달이 촉진된다.,3
인간공학기사,2009,1,인간공학개론,6,사람이 주의를 번갈아 가며 두 가지 이상을 돌보아야 하는 상황을 무엇이라 하는가?,text_only,비교식별(comparative judgment),절대식별(absolute judgment),시배분(time sharing),변화감지(variety sense),3
인간공학기사,2009,1,인간공학개론,7,다음 중 양립성의 종류에 해당되지 않는 것은?,text_only,사회적 양립성,공간적 양립성,운동 양립성,개념적 양립성,1
인간공학기사,2009,1,인간공학개론,8,다음 중 인간의 기억을 증진시키는 방법으로 적절하지 않은 것은?,text_only,가급적이면 절대식별을 늘이는 방향으로 설계하도록 한다.,기억에 의해 판별하도록 하는 가지 수는 5가지 미만으로 한다.,여러 자극차원을 조합하여 설계하도록 한다.,개별적인 정보는 효과적인 청크(chunk)로 조직되게 한다.,1
인간공학기사,2009,1,인간공학개론,9,다음 중 신호 및 경보등에 관한 설명으로 틀린 것은?,text_only,초당 점멸횟수는 3~10회가 적당하다.,최소 지속시간은 0.05초 이상 되어야 한다.,점멸횟수는 점멸-융합 주파수보다 훨씬 커야 한다.,배경의 불빛이 신호등과 비슷할 경우에는 신호광의 식별이 힘들어진다.,3
인간공학기사,2009,1,인간공학개론,10,다음 중 시식별 요소에 대한 설명으로 잘못된 것은?,text_only,광원으로부터 나오는 빛 에너지의 양을 휘도라 한다.,조도는 어떤 물체나 표면에 도달하는 광의 밀도를 말한다.,단위면적당 표면에서 반사되는 광량을 광도라 한다.,표면으로부터 반사되는 비율을 반사율이라 한다.,1
