Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer,
산업안전산업기사,2013,3,안전관리론,1,"다음 중 사람이 인력(중력)에 의하여 건축물, 구조물, 가설물, 수목, 사다리 등의 높은 장소에서 떨어지는 재해의 발생 형태를 무엇이라 하는가?",,추락,비래,낙하,전도,1,
산업안전산업기사,2013,3,안전관리론,2,다음 중 사고예방대책의 기본원리 5단계에 있어 3단계에 해당하는 것은?,,분석,안전조직,사실의 발견,시정방법의 선정,1,
산업안전산업기사,2013,3,안전관리론,3,다음 중 무재해 운동의 3요소에 해당되지 않는 것은?,,이념,기법,실천,경쟁,4,
산업안전산업기사,2013,3,안전관리론,4,교육훈련의 효과는 5관를 최대한 활용하여야 하는데 다음 중 효과가 가장 큰 것은?,,청각,시각,촉각,후각,2,
산업안전산업기사,2013,3,안전관리론,5,다음 중 산업안전보건법상 톡별안전·무건교육 대상의 작업에 해당하지 않는 것은?,,발사선 업무에 관계되는 작업,전압이 50V인 정전 및 활선작업,금속면의 높이가 3m 되는 양석의 금속작업,게이지압력를 2kgf/cm2 이상으로 사용하는 압력용기 설치 및 취급작업,2,
산업안전산업기사,2013,3,안전관리론,6,다음 중 맥그리거(McGregor)의 X·Y이론에서 Y이론의 관리철학에 해당하는 것은?,,본관화의 권한의 위임,경제적 보상체제의 강화,관휘주의적 리더십의 확립,연발한 감독과 엄격한 통제,1,
산업안전산업기사,2013,3,안전관리론,7,다음 중 인지과정 착오의 요인과 가장 거리가 먼 것은?,,정서 불안정,감각자단 현상,작업자의 기능미숙,생리·심리적 능력의 한계,3,
산업안전산업기사,2013,3,안전관리론,8,근로자의 작업 수행 중 나타나는 불안전한 행동의 종류로 볼 수 없는 것은?,,인간 과오로 인한 불안전한 행동,태도 불량으로 인한 불안전한 행동,시스템 과오로 인한 불안전한 행동,지식 부족으로 인한 불안전한 행동,3,
산업안전산업기사,2013,3,안전관리론,9,다음 중 산업안전보건법상 사업내 안전·보건교육에 있어 교육대상과 교육시간이 잘못 연결된 것은?,,사무직 종사 근로자의 정기교육 : 매분기 3시간 이상,안용근로자의 작업내용 변경시의 교육 : 1시간 이상,건설 일용근로자의 건설업 기초안전·보건교육 : 2시간 이상,관리감독자의 지위에 있는 사람의 정기교육 : 연간 16시간 이상,3,
산업안전산업기사,2013,3,안전관리론,10,산업안전보건법에 따라 안전·보건표지에 사용된 색채의 색도기준에서 '7.5R 4/14'일 때 이 색채의 명도 값으로 옮은 것은?,,7.5,4,14,04월 14일,2,
산업안전산업기사,2013,3,안전관리론,11,워험예지훈련 4R(라운드)의 진행방법에서 3R(라운드)에 해당하는 것은?,,톡표설정,본질추구,현상파악,대책수립,4,
산업안전산업기사,2013,3,안전관리론,12,레빈(Lewin)의 법칙 B = f(P·E)에서 인간 행동(B)은 개제(P)와 환경조건(E)과의 상호 함수관계를 갖는다. 다음 중 환경조건(E)이 나타내는 것은?,,지능,소질,적성,인간관계,4,
산업안전산업기사,2013,3,안전관리론,13,"도수율이 12.57, 강도율이 17.45인 사업장에서 한 근로자가 평생 근무한다면 대월의 근로손실이 발생 하겠는가? (단 1인 근로자의 평생근무시간은 1 $10^5$ 시간이다.)",,1257일,1269일,1745일,175일,3,
산업안전산업기사,2013,3,안전관리론,14,다음 중 인전점검 대상과 가장 거리가 먼 것은?,,인원 배치,방호 장치,작업 환경,작업 방법,1,
산업안전산업기사,2013,3,안전관리론,15,다음 중 학습정도(level of learning)의 4단계에 포함되지 않는 것은?,,지각한다.,적응한다.,인지한다.,정리한다.,4,
산업안전산업기사,2013,3,안전관리론,16,다음 중 사업장 내 안전·보건교육를 통하여 근로자가 할 알 및 재능를 확산시킬과 가장 거리가 먼 것은?,,정재위험 발견 능력,비상시대 대응 능력,재해손실비용분석 능력,적면한 문제의 사고 발생 가능성 예지 능력,3,
산업안전산업기사,2013,3,안전관리론,17,다음 중 재해 통계적 원인 분석시 톡성과 요인관계를 도표로 하여 이물성(魚骨)으로 세분한 한 것은?,,파레토도,톡성요인도,그로스도,관리도,2,
산업안전산업기사,2013,3,안전관리론,18,강의의 성과는 강의계획의 준비정도에 따라 일반적으로 결정되는데 다음 중 강의계획의 4단계를 올바르게 나열한 것은?\n\n1 교수방법의 선정 \n2 학습자료의 수집 및 체계화 \n3 학습목적과 학습성과의 선정 \n4 강의안 작성,,③ → ② → ① → ④,② → ③ → ① → ④,② → ① → ③ → ④,② → ③ → ④ → ①,1,
산업안전산업기사,2013,3,안전관리론,19,다음은 안전화의 정의에 관한 설명이다. A와 B에 해당하는 값으로 옮은 것은?\n\n충격걸를 안전화란 A[mm]의 낙하높이에서 시험 챗를 때 출격과 B[kN]의 압축하중에서 시험챗를 때 안락에 대하여 보호할 수 있는 성능를 불석하며 작용자를 보호하기 위한 안전화를 말한다.,,"A : 250mm, B : 4.5kN","A : 500mm, B : 5.0kN","A : 750mm, B : 7.5kN","A : 1000mm, B : 15.0kN",4,
산업안전산업기사,2013,3,안전관리론,20,다음 [그림]에 나타낸 리더와 부하와의 관계에서 이에 해당되는 리더의 유형은?,O,민주형,자유방임형,관휘형,곤력형,2,
산업안전산업기사,2013,3,인간공학 및 시스템안전공학,21,모든 시스템 안전 프로그램 중 최초 단계의 분석으로 시스템 내의 위험요소가 어떤 상태에 있는지를 정성적으로 평가하는 방법은?,,OA,PHA,FHA,FMEA,2,
산업안전산업기사,2013,3,인간공학 및 시스템안전공학,22,"다음 중 건구온도가 30℃, 슴구온도가 27℃ 일 때 사람를이 느끼는 톨쾌감의 정도를 설명한 것으로 가장 적절한 것은?",,대부분의 사람이 톨쾌감를 느낀다.,거의 모든 사람이 톨쾌감를 느끼지 못한다.,일부본의 사람이 톨쾌감를 느끼기 시작한다.,일부본의 사람이 쾌적함를 느끼기 시작한다.,1,
